, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Init_Win_bytes_backward,Active Mean, Active Std, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
96262,8080,90911,28,54,111108,440,16060,0,3968.142857,3456.802587,128,0,8.148148148,16.63754269,1227002.233,901.9810584,1122.358025,8719.497308,78602,0,90911,3367.074074,16024.52669,83538,2,89458,1687.886792,10772.60835,78602,0,0,0,0,307.9935321,593.9875263,0,16060,1343.951807,2735.564346,7483312.29,0,0,0,1,0,0,0,1,1360.341463,3968.142857,8.148148148,572,0,0,0,0,0,0,28,111108,54,1255,0.0,0.0,0,0.0,0.0,0,0
96263,8080,143095,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,2390.020616,48.91855061,23849.16667,57446.63278,141110,54,143095,47698.33333,82062.97603,142456,54,141727,70863.5,99343.55301,141110,617,0,0,0,27.95345749,20.96509312,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
96266,51622,42,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,285714.2857,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23809.52381,23809.52381,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96267,51623,38,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,315789.4737,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26315.78947,26315.78947,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96268,53435,19,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,631578.9474,105263.1579,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,52631.57895,52631.57895,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96337,8080,66394,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5136.006266,105.4312137,11065.66667,26008.2406,64150,61,66394,22131.33333,37604.2624,65551,61,64739,32369.5,44944.41412,64150,589,0,0,0,60.24640781,45.18480586,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96343,52326,2,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,6000000.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,500000.0,500000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96344,8080,64652,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5274.39213,108.2719792,10775.33333,25325.96919,62467,21,64652,21550.66667,36659.23407,63879,21,63063,31531.5,43749.40366,62467,596,0,0,0,61.86970241,46.40227681,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96364,52327,36,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,333333.3333,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27777.77778,27777.77778,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96398,8080,214040,5,4,212,145,194,0,42.4,84.78679142,129,0,36.25,61.96975069,1667.91254,42.04821529,26755.0,74609.86773,211403,3,214040,53510.0,105661.4774,212001,95,212087,70695.66667,121856.5967,211403,3,0,0,0,23.3601196,18.68809568,0,194,35.7,68.13067509,4641.788889,0,0,0,1,0,0,0,0,39.66666667,42.4,36.25,112,0,0,0,0,0,0,5,212,4,237,0.0,0.0,0,0.0,0.0,0,0
96399,8080,106700,32,70,163981,536,18980,0,5124.40625,4862.686141,128,0,7.657142857,14.60978996,1541865.042,955.9512652,1056.435644,8721.778379,87791,1,106700,3441.935484,16958.09337,94794,6,104792,1518.724638,10546.60484,87791,1,0,0,0,299.9062793,656.0449859,0,18980,1597.252427,3584.506594,12800000.0,0,0,0,1,0,0,0,2,1612.911765,5124.40625,7.657142857,652,0,0,0,0,0,0,32,163981,70,1255,0.0,0.0,0,0.0,0.0,0,0
96400,3205,29,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,413793.1034,68965.51724,29.0,0.0,29,29,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34482.75862,34482.75862,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96401,3206,68,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,176470.5882,29411.76471,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14705.88235,14705.88235,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96413,8080,77117,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4421.85251,90.77116589,12852.83333,30457.79386,75021,41,77117,25705.66667,43673.3713,76133,72,75581,37790.5,52651.87803,75021,560,0,0,0,51.86923765,38.90192824,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96414,8080,125152,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,2732.677065,55.9319867,20858.66667,50105.30877,123134,65,125152,41717.33333,71613.73991,124409,65,123760,61880.0,86626.23755,123134,626,0,0,0,31.96113526,23.97085144,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
96417,51624,17,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,705882.3529,117647.0588,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,58823.52941,58823.52941,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96423,53436,18,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55555.55556,55555.55556,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96433,8080,68488,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4978.974419,102.207686,11414.66667,26836.60263,66190,58,68488,22829.33333,38721.94717,67539,58,66801,33400.5,46371.3556,66190,611,0,0,0,58.40439201,43.80329401,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96436,52328,3,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,333333.3333,333333.3333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96484,8080,94714,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3589.754419,73.90670862,15785.66667,37544.50846,92419,39,94714,31571.33333,54053.66395,93986,39,93007,46503.5,64934.32282,92419,588,0,0,0,42.23240492,31.67430369,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
96489,3207,90,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,133333.3333,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11111.11111,11111.11111,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96495,8080,64894,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5254.723087,107.8682159,10815.66667,25578.15149,63024,38,64894,21631.33333,36878.90765,64214,38,63627,31813.5,44138.31239,63024,603,0,0,0,61.63898049,46.22923537,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96496,8080,69596,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,4914.075522,100.5804931,11599.33333,27342.84204,67409,67,69596,23198.66667,39362.38146,68648,67,68022,34011.0,47231.90456,67409,613,0,0,0,57.4745675,43.10592563,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
96497,51625,47,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,255319.1489,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,21276.59574,21276.59574,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96498,53437,46,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,260869.5652,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,21739.13043,21739.13043,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96507,8080,80848,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4217.791411,86.58222838,13474.66667,32004.82734,78801,55,80848,26949.33333,46124.98271,80209,55,79425,39712.5,55279.48683,78801,624,0,0,0,49.47555907,37.10666931,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96512,52329,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96549,8080,96996,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3505.299188,72.16792445,16166.0,38511.7984,94774,41,96996,32332.0,55454.88407,96365,41,95384,47692.0,66584.00294,94774,610,0,0,0,41.23881397,30.92911048,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
96563,3210,83,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,144578.3133,24096.38554,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,12048.19277,12048.19277,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96670,8080,103707,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3288.109771,67.49785453,17284.5,41353.59685,101695,41,103707,34569.0,59227.55029,102958,41,102291,51145.5,71487.78847,101695,596,0,0,0,38.57020259,28.92765194,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96671,8080,71258,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,4799.461113,98.23458419,11876.33333,28091.11439,69214,38,71258,23752.66667,40499.60367,70516,38,69854,34927.0,48489.14041,69214,640,0,0,0,56.13404811,42.10053608,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
96712,53440,30,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,400000.0,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,33333.33333,33333.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96717,51629,39,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,307692.3077,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25641.02564,25641.02564,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
96821,8080,119441,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,2854.96605,58.60634121,19906.83333,47610.29267,117088,53,119441,39813.66667,68212.10046,118577,53,117709,58854.5,82354.60548,117088,621,0,0,0,33.48933783,25.11700337,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
96995,52330,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97247,8080,126320,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2691.576947,55.41481951,21053.33333,50361.21602,123849,19,126320,42106.66667,72168.28542,125438,19,124383,62191.5,87196.87272,123849,534,0,0,0,31.66561115,23.74920836,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
97262,3382,39,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,307692.3077,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25641.02564,25641.02564,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97321,8080,64122,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5317.987586,109.1669006,10687.0,25347.54974,62425,41,64122,21374.0,36565.99851,63596,41,63021,31510.5,43719.70517,62425,596,0,0,0,62.38108605,46.78581454,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
97325,8080,71408,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,4789.379341,98.02823213,11901.33333,28183.54021,69428,32,71408,23802.66667,40601.76673,70684,32,70074,35037.0,48636.21862,69428,646,0,0,0,56.01613265,42.01209948,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
97349,51631,48,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,250000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20833.33333,20833.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97355,53445,41,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,292682.9268,48780.4878,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,24390.2439,24390.2439,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97371,8080,76001,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4486.783069,92.10405126,12666.83333,30106.46592,74119,67,76001,25333.66667,43312.73455,75346,67,74732,37366.0,51976.59106,74119,613,0,0,0,52.63088644,39.47316483,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
97378,52331,3,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,333333.3333,333333.3333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97411,8080,96855,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3510.402148,72.27298539,16142.5,38482.95324,94693,74,96855,32285.0,55213.59382,96039,74,95343,47671.5,66498.44302,94693,650,0,0,0,41.29884879,30.9741366,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
97414,3387,93,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,129032.2581,21505.37634,93.0,0.0,93,93,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10752.68817,10752.68817,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97421,8080,71560,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4765.231973,97.82001118,11926.66667,28310.69285,69713,70,71560,23853.33333,40791.90248,70955,70,70316,35158.0,48868.14965,69713,603,0,0,0,55.89714925,41.92286193,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
97422,8080,70986,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,4817.851407,98.61099372,11831.0,27983.55921,68949,34,70986,23662.0,40338.29393,70239,34,69566,34783.0,48318.02057,68949,617,0,0,0,56.34913927,42.26185445,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
97428,51632,52,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,19230.76923,19230.76923,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97429,53446,40,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,300000.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25000.0,25000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97435,8080,89997,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3789.015189,77.78037046,14999.5,35708.09802,87885,23,89997,29999.0,51400.35215,89350,23,88495,44247.5,61712.74433,87885,610,0,0,0,44.44592598,33.33444448,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
97437,52332,34,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,352941.1765,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29411.76471,29411.76471,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97449,8080,122460,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2776.416789,57.16152213,20410.0,48935.85574,120297,49,122460,40820.0,70197.84002,121877,49,120953,60476.5,84598.96241,120297,656,0,0,0,32.66372693,24.4977952,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
97454,3388,91,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,131868.1319,21978.02198,91.0,0.0,91,91,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10989.01099,10989.01099,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97461,8080,76042,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4484.363904,92.05439099,12673.66667,30155.9415,74227,48,76042,25347.33333,43336.52386,75387,48,74819,37409.5,52067.80783,74227,592,0,0,0,52.60250914,39.45188185,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
97462,8080,70069,4,3,208,134,196,0,52.0,96.04165763,128,0,44.66666667,72.23111056,4880.90311,99.90152564,11678.16667,27660.88112,68138,30,70069,23356.33333,39816.67242,69331,30,68759,34379.5,47741.72855,68138,621,0,0,0,57.08658608,42.81493956,0,196,42.75,75.86407017,5755.357143,0,0,0,1,0,0,0,0,48.85714286,52.0,44.66666667,92,0,0,0,0,0,0,4,208,3,237,0.0,0.0,0,0.0,0.0,0,0
97468,53447,42,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,285714.2857,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23809.52381,23809.52381,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97480,51633,40,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,300000.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25000.0,25000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97501,8080,70778,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4803.752578,98.90078838,11796.33333,27736.5936,68408,81,70778,23592.66667,40193.6963,70003,81,69056,34528.0,47913.55549,68408,648,0,0,0,56.51473622,42.38605216,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
97502,3389,5,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,2400000.0,400000.0,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,200000.0,200000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97506,8080,67239,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5071.461503,104.1062479,11206.5,26523.7902,65345,40,67239,22413.0,38254.28848,66584,40,65942,32971.0,45783.74987,65345,597,0,0,0,59.48928449,44.61696337,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
97539,51634,50,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,240000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20000.0,20000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
97774,8080,137424,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2474.094772,50.93724531,22904.0,54976.19896,135121,42,137424,45808.0,78674.50908,136653,125,135714,67857.0,95125.66106,135121,593,0,0,0,29.10699732,21.83024799,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
